,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
35,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,28/04/2025,Spring 2025,"182,02",721.0,True,04/04/2025,False,True,True,6.0
36,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,18/05/2025,Spring 2025,"259,72",1002.0,True,28/04/2025,False,True,True,2.0
37,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,20/05/2025,Spring 2025,"206,64",375.0,True,18/05/2025,False,True,True,2.0
38,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,19/10/2025,Autumn 2025,"223,5",645.0,True,,False,False,False,
39,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,28/12/2025,Winter 2025-2026,"158,55",406.0,True,,False,False,False,
41,167,l'amanusa spiaggia libera,Spiaggia Libera,4.0,192,4.17030752,12.33833179,29/11/2025,Autumn 2025,"53,47",238.0,True,29/11/2025,True,False,False,
42,35,Levanzo,Spiaggia di Cala Minnola,4.6,485,37.98983033,12.34538761,04/05/2025,Spring 2025,"29,22",255.0,True,,False,False,True,1.0
43,109,Lido azzurro e ske torre a mare bari,Torre a Mare,4.4,1124,41.08838011,17.00377285,08/06/2025,Summer 2025,"18,46",949.0,True,08/06/2025,True,True,False,
44,150,Lido di Ostia,pontile di ostia,4.7,3,41.72356556,12.29061985,15/09/2025,Autumn 2025,"368,71",127.0,True,14/09/2025,False,False,False,
45,150,Lido di Ostia,pontile di ostia,4.7,3,41.72356556,12.29061985,16/11/2025,Autumn 2025,"368,71",266.0,True,15/09/2025,False,False,False,
46,150,Lido di Ostia,pontile di ostia,4.7,3,41.72356556,12.29061985,08/12/2025,Winter 2025-2026,"368,71",100.0,False,16/11/2025,False,False,False,
48,95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.56608553,12.95526266,11/05/2025,Spring 2025,"2203,46",54.0,True,11/05/2025,False,False,False,
